كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,مقطع ارائه درس,نوع ارائه,سطح ارائه,حداقل ظرفيت,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمانبندي تشکيل کلاس,زمان امتحان,استاد,ساير اساتيد,مكان برگزاري,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
1939122528,حسابداری‌شرکتها 2,نظري,3,0,200-27,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,سه شنبه  از 16:30 تا 19:15,1403/05/10 از 08:00 تا 09:00,رضوان حبذا,,دانشکده مهارتی و کارآفرینی-101,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207062,تبلیغات و ارتباطات,نظري,2,0,4421,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,شنبه  از 07:30 تا 09:15,1403/10/10 از 13:30 تا 15:00,مهسا قانع,,دانشکده مهارتی و کارآفرینی-205,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207057,تاریخ هنر گرافیک,نظري,2,0,4420,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,شنبه  از 11:00 تا 12:45,1403/10/18 از 08:00 تا 09:30,رقیه باروتی,,دانشکده مهارتی و کارآفرینی-301,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207051,گرافیک و ساختار بسته بندی,آزمايشگاهي,0,3,4419,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,سه شنبه  از 12:00 تا 17:00,1403/10/11 از 13:30 تا 15:00,امیر محسنی آهویی,,دانشکده مهارتی و کارآفرینی-فیلم سازی,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207046,آماده سازی برای چاپ,نظري_عملي,1,1,4418,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,سه شنبه  از 01:00 تا 12:00,1403/10/09 از 13:30 تا 15:00,مریم شه منش,,دانشکده مهارتی و کارآفرینی-آتلیه نقاشی2,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207052,گرافیک محیطی و دکور سازی,كارگاهي,0,3,4417,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,چهارشنبه  از 07:30 تا 13:00,1403/10/05 از 08:00 تا 09:30,امیر محسنی آهویی,,دانشکده مهارتی و کارآفرینی-آتلیه نقاشی2,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017205959,عکاسی تبلیغاتی,نظري_عملي,1,1,4416,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,يكشنبه  از 10:00 تا 12:30,1403/10/17 از 08:00 تا 09:30,مهسا قانع,,دانشکده مهارتی و کارآفرینی-آتلیه نقاشی2,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6220137241,طراحی تحلیلی,كارگاهي,1,1,4414,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,چهارشنبه  از 11:00 تا 13:30,1403/10/15 از 08:00 تا 09:30,غزال امیدوار,,دانشکده مهارتی و کارآفرینی-آتلیه نقاشی1,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939122538,حسابداری‌ مالی‌,نظري,3,0,200-26,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,چهارشنبه  از 11:30 تا 14:30,1403/05/10 از 08:00 تا 09:00,سیده طیبه سجادیان,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004143210,مالیاتی 1,نظري_عملي,1,1,200-25,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,چهارشنبه  از 07:30 تا 09:30,1403/05/10 از 08:00 تا 09:00,سیده طیبه سجادیان,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004122616,حسابداری حقوق و دستمزد,نظري_عملي,1,1,200-24,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,35,,سه شنبه  از 07:30 تا 09:30,1403/10/13 از 08:00 تا 10:00,ملیحه حیدری جونی,,دانشکده مهارتی و کارآفرینی-101,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939130423,زبان‌ فنی‌,نظري,2,0,200-23,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,دوشنبه  از 15:30 تا 17:30,1403/10/11 از 08:00 تا 10:00,زهرا برزگر,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004112513,بهایابی ( 2 ),نظري_عملي,2,1,200-22,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 07:30 تا 09:30,1403/10/16 از 08:00 تا 10:00,زهره رئیسی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6285107833,آمار مقدماتی,نظري,2,0,200-21,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 11:00 تا 12:45,1403/10/15 از 08:00 تا 09:30,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004112507,بهایابی ( 1 ),نظري_عملي,2,1,200-20,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 09:30 تا 12:30,1403/10/16 از 08:00 تا 10:30,زهره رئیسی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206933,مبانی عمومی رایانه,كارگاهي,1,1,200-19,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,دوشنبه  از 13:15 تا 15:00,1403/10/13 از 10:30 تا 12:30,,,,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206938,آشنایی با بورس و اوراق بهادار,نظري_عملي,1,1,200-18,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,شنبه  از 07:30 تا 09:30,1403/10/17 از 13:30 تا 15:30,زهره رئیسی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939156327,کارآفرینی و پروژه,نظري_عملي,1,1,200-17,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 10:00 تا 12:30,1403/10/16 از 10:30 تا 12:00,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55194,ریاضی پیش دانشگاهی,نظري,2,0,200-16,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,دوشنبه  از 11:00 تا 12:45,1403/10/09 از 10:30 تا 12:00,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939123242,حقوق‌ تجارت‌,نظري,2,0,200-15,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 17:30 تا 19:15,1403/10/10 از 08:00 تا 10:00,علی کیانی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55076,حسابداری صنعتی (جبرانی),نظري,2,0,200-14,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,شنبه  از 11:30 تا 13:30,1403/10/17 از 08:00 تا 10:00,امین اسکندری,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939122527,حسابداری‌ شرکتها ) 1 (,نظري,3,0,200-13,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,دوشنبه  از 10:30 تا 13:30,1403/10/11 از 13:30 تا 15:30,سعید گلستانی,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1939174787,اقتصاد ( 1 ) ( خرد ),نظري,3,0,200-12,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,سه شنبه  از 13:30 تا 15:30,1403/10/13 از 13:30 تا 15:30,سید محمد رضا پیرمرادیان,,دانشکده مهارتی و کارآفرینی-101,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004100710,اخلاق حرفه ای,نظري,2,0,200-11,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,چهارشنبه  از 17:30 تا 19:15,1403/10/18 از 08:00 تا 10:30,زهرا سالاری,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004130047,ریاضی عمومی,نظري,3,0,200-10,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 12:45 تا 14:30,1403/10/10 از 10:30 تا 12:00,,,,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
100002,کارآموزی طرح پویش (3) کاردانی و کارشناسی,طرح پویش,0,2,200-8,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,50,,,,زهره رئیسی,,,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
