کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
90881,آشنایی با دفاع مقدس,نظري,2,0,1639088103,خواهران-ورودی جدید زبان,سه شنبه از 11:00 تا 11:45 سه شنبه از ...,بهرام اسماعیلی,,25,,1404/10/21 از 16:45 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1639088102,برادران-ورودی جدید زبان,سه شنبه از 09:15 تا 11:00,بهرام اسماعیلی,,25,,1404/10/21 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1639088101,برادران,سه شنبه از 07:30 تا 09:15,بهرام اسماعیلی,,55,,1404/10/21 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907308,خواهران,دوشنبه از 16:45 تا 18:30,مرضیه امیدی,,45,,1404/10/20 از 16:30 تا 18:00,مهندسی یک-319,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907307,خواهران,دوشنبه از 15:00 تا 16:45,مرضیه امیدی,,45,,1404/10/20 از 16:30 تا 18:00,مهندسی یک-319,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012802,برادران,دوشنبه از 13:15 تا 15:00,محمدعلی کوثری,,45,,1404/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076306,برادران,دوشنبه از 09:15 تا 11:00,محمدعلی کوثری,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012801,برادران,دوشنبه از 11:00 تا 11:45 دوشنبه از از ...,محمدعلی کوثری,,45,,1404/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076305,برادران,دوشنبه از 07:30 تا 09:15,محمدعلی کوثری,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076304,برادران,يكشنبه از 16:45 تا 18:30,سید مسعود زبرجد,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
